case_id,error_type,original_record,expected_detection,expected_repair,auto_repair_allowed,risk_level,review_status,notes
oc_e01_ihc2_to_positive,her2_assay_error,"{""source_id"":""cbioportal:brca_metabric"",""raw_field"":""HER2 IHC score"",""raw_value"":""2+"",""her2_status"":""Positive""}",TRUE,her2_status=Equivocal; her2_assay=IHC; her2_raw_value=2+; 进入 REVIEW,FALSE,high,approved,不得把 IHC 2+ 自动改成 Positive。
oc_e02_cna_as_ihc,her2_assay_error,"{""source_id"":""cbioportal:brca_metabric"",""raw_field"":""ERBB2_CNA"",""raw_value"":""Amp"",""her2_status"":""Positive""}",TRUE,撤销 her2_status=Positive；保留 gene=ERBB2 与 CNA 原始值,FALSE,high,approved,ERBB2 CNA ≠ HER2 IHC 阳性。
oc_e03_ic50_as_pcr,schema_mapping_error,"{""source_id"":""depmap:BRCA"",""IC50"":0.15,""response"":""pCR"",""response_domain"":""clinical""}",TRUE,response_domain=preclinical_cell_line；清除患者 pCR 解释,FALSE,high,approved,细胞系 IC50/AUC 不得解释为患者 pCR。
oc_e04_low_conf_merge,patient_sample_conflict,"{""patient_id"":""PT001"",""sample_id"":""GSM_pre_A"",""match_score"":0.35,""decision"":""AUTO_MERGE""}",TRUE,unresolved,FALSE,high,approved,低置信关联不得自动合并。
oc_e05_cross_study_id,patient_sample_conflict,"{""left"":""geo:GSE25066:PT001"",""right"":""cbioportal:brca_metabric:PT001"",""action"":""merge_as_same_patient""}",TRUE,unresolved；禁止合并,FALSE,high,approved,跨研究同号不得当同一患者。
oc_e06_gene_alias,gene_alias,"{""gene"":""HER-2"",""source_id"":""civic:evidence-7316""}",TRUE,"{""gene"":""ERBB2""}",TRUE,low,approved,基因别名可自动。
oc_e07_drug_alias,drug_alias,"{""drug"":""Perjeta"",""source_id"":""nct:NCT01104584""}",TRUE,"{""drug"":""pertuzumab""}",TRUE,low,approved,药品别名可自动。
oc_e08_duplicate,duplicate,"{""patient_id"":""PT001"",""sample_id"":""S-chemo-1"",""source_id"":""geo:GSE25066"",""rows"":2}",TRUE,保留一条并记审计；不删原始备份,TRUE,low,approved,同研究完全重复可自动去重。
oc_e09_missing_source,provenance_missing,"{""her2_status"":""Positive"",""source_id"":"""",""raw_field"":"""",""raw_value"":""""}",TRUE,阻断发布；补 source_id 与 raw_* 或删除该关键字段,FALSE,high,approved,无 Evidence 不得正式发布。
oc_e10_join_without_crosswalk,patient_sample_conflict,"{""left"":""GSE25066"",""right"":""TCGA-BRCA"",""join"":""patient_id""}",TRUE,FORBIDDEN_PATIENT_JOIN,FALSE,high,approved,无 crosswalk 禁止患者级 Join。
oc_e11_clean_ihc3,her2_assay_error,"{""source_id"":""geo:GSE50948"",""raw_field"":""HER2 IHC"",""raw_value"":""3+"",""her2_status"":""Positive"",""her2_assay"":""IHC""}",FALSE,,FALSE,low,approved,对照：IHC 3+ → Positive 且保留 assay，不应报 her2 错。
oc_e12_clean_er,schema_mapping_error,"{""source_id"":""geo:GSE25066"",""raw_field"":""ER_status"",""raw_value"":""POS"",""er_status"":""Positive""}",FALSE,,FALSE,low,approved,对照：ER 标准化正确。
oc_e13_missing_response,missing,"{""source_id"":""cbioportal:brca_metabric"",""required"":""response"",""response"":""""}",TRUE,不填假 pCR；标记字段缺失并换队列或 REVIEW,FALSE,medium,approved,METABRIC 缺治疗响应时不得编造结局。
oc_e14_unknown_to_negative,schema_mapping_error,"{""er_status"":""Negative"",""raw_value"":""unknown"",""source_id"":""gdc:TCGA-BRCA""}",TRUE,er_status=Unknown,FALSE,medium,approved,unknown/NA 不得当成 Negative。
oc_e15_authority_conflict,schema_mapping_error,"{""source_a"":""IHC 3+"",""source_b"":""FISH negative"",""picked"":""Positive"",""source_id"":""mixed:TCGA-BRCA""}",TRUE,不自动选边；记录冲突并 REVIEW,FALSE,high,approved,高权威来源冲突不得自动选边。
oc_e16_empty_raw,provenance_missing,"{""her2_status"":""Positive"",""source_id"":""geo:GSE50948"",""raw_value"":""""}",TRUE,缺 raw_value 则关键字段不可发布,FALSE,high,approved,有 source 但无原始值仍不算完整 Evidence。
oc_e17_clean_drug,drug_alias,"{""drug"":""pertuzumab"",""source_id"":""nct:NCT01104584""}",FALSE,,FALSE,low,approved,对照：已是标准药名，不应再报错。
oc_e18_domain_blank,schema_mapping_error,"{""response"":""IC50"",""response_domain"":"""",""source_id"":""depmap:BRCA""}",TRUE,response_domain=preclinical_cell_line,FALSE,medium,approved,细胞系药敏必须补 preclinical_cell_line 域。
