evaluation_id,evaluation_version,layer,stage,benchmark_or_task,stratum_name,stratum_value,method_id,method_label,base_model_id,metric,value,direction,unit,n,mean,std,ci95_low,ci95_high,run_count,seed,dataset_version,evaluation_contract_id,quality_gate,publish_allowed,source_id,source_url,raw_field,raw_value,notes
TBD,v2,external_benchmarks,cleaning,hospital,benchmark_dataset,hospital,holoclean,HoloClean,,cell_f1,,higher,ratio,,,,,,,,official_hospital_dirty_data,,REVIEW,false,benchmark:hospital,https://github.com/HoloClean/holoclean,cell_f1,,Fill only after a reproducible run.
TBD,v2,external_benchmarks,cleaning,hospital,benchmark_dataset,hospital,raha_baran,Raha+Baran,,cell_f1,,higher,ratio,,,,,,,,official_hospital_dirty_data,,REVIEW,false,benchmark:hospital,https://github.com/BigDaMa/raha,cell_f1,,Fill only after a reproducible run.
TBD,v2,external_benchmarks,cleaning,hospital,benchmark_dataset,hospital,cocoon,Cocoon,,cell_f1,,higher,ratio,,,,,,,,official_hospital_dirty_data,,REVIEW,false,benchmark:hospital,https://github.com/Cocoon-Data-Transformation/cocoon,cell_f1,,Fill only after a reproducible run.
TBD,v2,external_benchmarks,cleaning,hospital,benchmark_dataset,hospital,full_agent,Full Agent,qwen-plus,cell_f1,,higher,ratio,,,,,,,,official_hospital_dirty_data,,REVIEW,false,benchmark:hospital,https://github.com/HoloClean/holoclean,cell_f1,,Fill only after a reproducible run.
TBD,v2,external_benchmarks,retrieval,beir_scifact,benchmark_dataset,beir_scifact,bm25,BM25,,ndcg_at_10,,higher,ratio,,,,,,,,beir_scifact,,REVIEW,false,benchmark:beir_scifact,https://github.com/beir-cellar/beir,ndcg_at_10,,Fill only after a reproducible run.
TBD,v2,external_benchmarks,retrieval,beir_scifact,benchmark_dataset,beir_scifact,bge_m3,BGE-M3,,ndcg_at_10,,higher,ratio,,,,,,,,beir_scifact,,REVIEW,false,benchmark:beir_scifact,https://github.com/beir-cellar/beir,ndcg_at_10,,Fill only after a reproducible run.
TBD,v2,external_benchmarks,retrieval,beir_scifact,benchmark_dataset,beir_scifact,full_agent,Full Agent,qwen-plus,ndcg_at_10,,higher,ratio,,,,,,,,beir_scifact,,REVIEW,false,benchmark:beir_scifact,https://github.com/beir-cellar/beir,ndcg_at_10,,Fill only after a reproducible run.
TBD,v2,external_benchmarks,schema_matching,valentine,benchmark_dataset,valentine,coma,COMA,,schema_f1,,higher,ratio,,,,,,,,valentine_suite,,REVIEW,false,benchmark:valentine,https://github.com/delftdata/valentine,schema_f1,,Fill only after a reproducible run.
TBD,v2,external_benchmarks,schema_matching,valentine,benchmark_dataset,valentine,full_agent,Full Agent,qwen-plus,schema_f1,,higher,ratio,,,,,,,,valentine_suite,,REVIEW,false,benchmark:valentine,https://github.com/delftdata/valentine,schema_f1,,Fill only after a reproducible run.
TBD,v2,external_benchmarks,entity_matching,dblp_acm,benchmark_dataset,dblp_acm,ditto,Ditto,,entity_f1,,higher,ratio,,,,,,,,er_magellan_deepmatcher,,REVIEW,false,benchmark:dblp_acm,https://github.com/anhaidgroup/deepmatcher,entity_f1,,Fill only after a reproducible run.
TBD,v2,external_benchmarks,entity_matching,dblp_acm,benchmark_dataset,dblp_acm,full_agent,Full Agent,qwen-plus,entity_f1,,higher,ratio,,,,,,,,er_magellan_deepmatcher,,REVIEW,false,benchmark:dblp_acm,https://github.com/anhaidgroup/deepmatcher,entity_f1,,Fill only after a reproducible run.
TBD,v2,frozen_goldset_sdti,sdti,breast_cancer_goldset,method_variant,rule_keyword,rule_keyword,Rule/Keyword Baseline,,sdti,,higher,score_0_100,,,,,,,,goldset_vTBD,,REVIEW,false,goldset:breast_cancer_internal,TBD,sdti,,Do not publish until the frozen Gold Set is validated.
TBD,v2,frozen_goldset_sdti,sdti,breast_cancer_goldset,method_variant,qwen_only,qwen_only,Qwen-only,qwen-plus,sdti,,higher,score_0_100,,,,,,,,goldset_vTBD,,REVIEW,false,goldset:breast_cancer_internal,TBD,sdti,,Do not publish until the frozen Gold Set is validated.
TBD,v2,frozen_goldset_sdti,sdti,breast_cancer_goldset,method_variant,full_agent,full_agent,Full Agent,qwen-plus,sdti,,higher,score_0_100,,,,,,,,goldset_vTBD,,REVIEW,false,goldset:breast_cancer_internal,TBD,sdti,,Do not publish until the frozen Gold Set is validated.
TBD,v2,quality_gate,ablation,domain_tasks,gate_variant,no_gate,no_gate,No Gate,,critical_error_rate,,lower,ratio,,,,,,,,contract_set_vTBD,,REVIEW,false,contract:domain_tasks,TBD,critical_error_rate,,Fill only after a reproducible run.
TBD,v2,quality_gate,ablation,domain_tasks,gate_variant,full_gate,full_agent,Full Agent,qwen-plus,critical_error_rate,,lower,ratio,,,,,,,,contract_set_vTBD,,REVIEW,false,contract:domain_tasks,TBD,critical_error_rate,,Fill only after a reproducible run.
