case_id,source_dataset,raw_field,raw_value,canonical_field,canonical_value,allowed_auto_transform,label_source,review_status,notes
oc_f01_ihc3_status,GSE50948,HER2 IHC,3+,her2_status,Positive,TRUE,official_candidate_draft_pending_xsc_review,approved,IHC 3+ 可映射 Positive；须同时保留 her2_assay=IHC 与 her2_raw_value=3+。
oc_f02_ihc3_assay,GSE50948,HER2 IHC,3+,her2_assay,IHC,TRUE,official_candidate_draft_pending_xsc_review,approved,检测方法必须保留为 IHC。
oc_f03_ihc3_raw,GSE50948,HER2 IHC,3+,her2_raw_value,3+,TRUE,official_candidate_draft_pending_xsc_review,approved,原始值不得丢弃。
oc_f04_ihc2_equivocal,brca_metabric,HER2 IHC score,2+,her2_status,Equivocal,FALSE,official_candidate_draft_pending_xsc_review,approved,硬规则：IHC 2+ 不得自动判为 Positive，只能 Equivocal/REVIEW。
oc_f05_ihc2_assay,brca_metabric,HER2 IHC score,2+,her2_assay,IHC,TRUE,official_candidate_draft_pending_xsc_review,approved,2+ 仍是 IHC 检测。
oc_f06_ihc2_raw,brca_metabric,HER2 IHC score,2+,her2_raw_value,2+,TRUE,official_candidate_draft_pending_xsc_review,approved,必须留下 2+ 原文。
oc_f07_ihc0_negative,GSE25066,her2,0,her2_status,Negative,TRUE,official_candidate_draft_pending_xsc_review,approved,IHC 0 → Negative；仍保留 assay 与 raw。
oc_f08_fish_assay,TCGA-BRCA,her2_fish_result,AMP,her2_assay,FISH,TRUE,official_candidate_draft_pending_xsc_review,approved,assay=FISH，不得写成 IHC。
oc_f09_fish_status,TCGA-BRCA,her2_fish_result,AMP,her2_status,Positive,FALSE,official_candidate_draft_pending_xsc_review,approved,FISH 扩增可支持 Positive，但属高风险，建议人工确认，不得与 IHC 2+ 混用。
oc_f10_cna_gene,brca_metabric,ERBB2_CNA,Amp,gene,ERBB2,TRUE,official_candidate_draft_pending_xsc_review,approved,CNA 只证明基因是 ERBB2，不是 IHC。
oc_f11_cna_not_ihc,brca_metabric,ERBB2_CNA,Amp,her2_status,Unknown,FALSE,official_candidate_draft_pending_xsc_review,approved,禁止把 CNA Amp 写成 HER2 Positive。
oc_f12_er_pos,GSE25066,ER_status,POS,er_status,Positive,TRUE,official_candidate_draft_pending_xsc_review,approved,符号/缩写 POS → Positive。
oc_f13_pr_neg,TCGA-BRCA,progesterone_receptor_status,negative,pr_status,Negative,TRUE,official_candidate_draft_pending_xsc_review,approved,PR 阴性大小写可自动。
oc_f14_gene_alias,CIViC,gene_symbol,HER-2,gene,ERBB2,TRUE,official_candidate_draft_pending_xsc_review,approved,基因别名可自动（gene_alias_exact）。
oc_f15_drug_perjeta,NCT01104584,intervention_name,Perjeta,drug,pertuzumab,TRUE,official_candidate_draft_pending_xsc_review,approved,药品别名可自动；须与该 NCT 公开干预字段核对。https://clinicaltrials.gov/study/NCT01104584
oc_f16_pcr_value,GSE25066,pathologic_response,pCR,response,pCR,TRUE,official_candidate_draft_pending_xsc_review,approved,临床病理完全缓解。
oc_f17_pcr_domain,GSE25066,pathologic_response,pCR,response_domain,clinical,TRUE,official_candidate_draft_pending_xsc_review,approved,患者结局必须是 clinical。
oc_f18_ic50_domain,DepMap,IC50,0.15,response_domain,preclinical_cell_line,TRUE,official_candidate_draft_pending_xsc_review,approved,细胞系药敏域；IC50 数值仅为字段映射示例。
oc_f19_ic50_not_pcr,DepMap,IC50,0.15,response,IC50,FALSE,official_candidate_draft_pending_xsc_review,approved,不得写成患者 pCR。
oc_f20_scanb_source,GSE96058,geo_accession,GSE96058,source_id,geo:GSE96058,TRUE,official_candidate_draft_pending_xsc_review,approved,必须有真实 source_id。https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE96058
oc_f21_patient_id,GSE25066,subject,PT001,patient_id,PT001,FALSE,official_candidate_draft_pending_xsc_review,approved,示例身份字段，非声称真实患者编号；低置信时不得跨库对齐。
oc_f22_sample_id,GSE50948,sample_name,GSM_pre_A,sample_id,GSM_pre_A,FALSE,official_candidate_draft_pending_xsc_review,approved,示例样本 ID，不与其他研究同号合并。
oc_f23_civic_domain,CIViC,evidence_direction,Predictive,response_domain,knowledge_evidence,TRUE,official_candidate_draft_pending_xsc_review,approved,知识证据层。
oc_f24_er_unknown,TCGA-BRCA,er_ihc,unknown,er_status,Unknown,TRUE,official_candidate_draft_pending_xsc_review,approved,unknown 不得当成 Negative。
oc_f25_residual,GSE50948,surgery_response,residual disease,response,residual_disease,FALSE,official_candidate_draft_pending_xsc_review,approved,残余病灶写法需核对原始注释，建议审核。
oc_f26_nct_source,NCT01104584,nct_id,NCT01104584,source_id,nct:NCT01104584,TRUE,official_candidate_draft_pending_xsc_review,approved,试验必须落到真实 NCT。https://clinicaltrials.gov/study/NCT01104584
