question_id,research_question,dataset_id,label,label_source,review_status,notes
oc01_chemo_pcr_annotation,只要新辅助化疗队列里按样本注释给出的患者级 pCR 或残余病灶标签（以化疗响应系列为主），不要把抗 HER2 靶向队列、细胞系筛药或知识库当成正例。,GSE25066,relevant,official_candidate_draft_pending_xsc_review,approved,GEO 官方 GSE25066：新辅助化疗响应独立队列，样本注释含 pCR。https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE25066
oc01_chemo_pcr_annotation,只要新辅助化疗队列里按样本注释给出的患者级 pCR 或残余病灶标签（以化疗响应系列为主），不要把抗 HER2 靶向队列、细胞系筛药或知识库当成正例。,GSE76360,not_relevant,official_candidate_draft_pending_xsc_review,approved,该系列以 HER2 靶向术前治疗为主，不是本题要求的化疗响应主队列。
oc01_chemo_pcr_annotation,只要新辅助化疗队列里按样本注释给出的患者级 pCR 或残余病灶标签（以化疗响应系列为主），不要把抗 HER2 靶向队列、细胞系筛药或知识库当成正例。,brca_metabric,not_relevant,official_candidate_draft_pending_xsc_review,approved,有分子与生存，缺与本问匹配的新辅助化疗 pCR 同域结局。https://www.cbioportal.org/study/summary?id=brca_metabric
oc01_chemo_pcr_annotation,只要新辅助化疗队列里按样本注释给出的患者级 pCR 或残余病灶标签（以化疗响应系列为主），不要把抗 HER2 靶向队列、细胞系筛药或知识库当成正例。,DepMap,not_relevant,official_candidate_draft_pending_xsc_review,approved,细胞系药敏，response_domain 不同。
oc01_chemo_pcr_annotation,只要新辅助化疗队列里按样本注释给出的患者级 pCR 或残余病灶标签（以化疗响应系列为主），不要把抗 HER2 靶向队列、细胞系筛药或知识库当成正例。,CIViC,not_relevant,official_candidate_draft_pending_xsc_review,approved,知识证据库，不是患者级 pCR 注释。https://civicdb.org/
oc02_her2_neoadjuvant_baseline,公开 GEO 系列中，HER2 阳性术前靶向治疗队列需要同时保留基线受体注释与术后病理响应；治疗后时间点不得当成另一名患者。,GSE50948,relevant,official_candidate_draft_pending_xsc_review,approved,GEO 官方 GSE50948：HER2 阳性新辅助治疗与病理完全缓解公开系列。https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE50948
oc02_her2_neoadjuvant_baseline,公开 GEO 系列中，HER2 阳性术前靶向治疗队列需要同时保留基线受体注释与术后病理响应；治疗后时间点不得当成另一名患者。,GSE76360,relevant,official_candidate_draft_pending_xsc_review,approved,GEO 官方 GSE76360：HER2 靶向术前治疗，公开矩阵含基线/术后响应注释。https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE76360
oc02_her2_neoadjuvant_baseline,公开 GEO 系列中，HER2 阳性术前靶向治疗队列需要同时保留基线受体注释与术后病理响应；治疗后时间点不得当成另一名患者。,GSE25066,not_relevant,official_candidate_draft_pending_xsc_review,approved,新辅助化疗响应队列，不是抗 HER2 靶向术前治疗主系列。
oc02_her2_neoadjuvant_baseline,公开 GEO 系列中，HER2 阳性术前靶向治疗队列需要同时保留基线受体注释与术后病理响应；治疗后时间点不得当成另一名患者。,DepMap,not_relevant,official_candidate_draft_pending_xsc_review,approved,非患者临床响应。
oc02_her2_neoadjuvant_baseline,公开 GEO 系列中，HER2 阳性术前靶向治疗队列需要同时保留基线受体注释与术后病理响应；治疗后时间点不得当成另一名患者。,brca_metabric,not_relevant,official_candidate_draft_pending_xsc_review,approved,缺匹配的抗 HER2 治疗响应结局。
oc03_pi3k_inhibitor_same_patient,激素受体阳性乳腺癌接受 PI3K 抑制剂时，能否在同一患者记录上同时看到 PIK3CA 状态与临床响应？禁止把只有突变或只有表达响应的队列横向贴值。,breast_alpelisib_2020,relevant,official_candidate_draft_pending_xsc_review,approved,cBioPortal 同患者可含 PIK3CA 与治疗响应。https://www.cbioportal.org/study/summary?id=breast_alpelisib_2020
oc03_pi3k_inhibitor_same_patient,激素受体阳性乳腺癌接受 PI3K 抑制剂时，能否在同一患者记录上同时看到 PIK3CA 状态与临床响应？禁止把只有突变或只有表达响应的队列横向贴值。,brca_mskcc_2019,relevant,official_candidate_draft_pending_xsc_review,approved,cBioPortal 同患者临床/分子候选。https://www.cbioportal.org/study/summary?id=brca_mskcc_2019
oc03_pi3k_inhibitor_same_patient,激素受体阳性乳腺癌接受 PI3K 抑制剂时，能否在同一患者记录上同时看到 PIK3CA 状态与临床响应？禁止把只有突变或只有表达响应的队列横向贴值。,GSE76360,not_relevant,official_candidate_draft_pending_xsc_review,approved,有治疗响应，公开矩阵无 PIK3CA；不得跨库贴突变当正例。
oc03_pi3k_inhibitor_same_patient,激素受体阳性乳腺癌接受 PI3K 抑制剂时，能否在同一患者记录上同时看到 PIK3CA 状态与临床响应？禁止把只有突变或只有表达响应的队列横向贴值。,brca_metabric,not_relevant,official_candidate_draft_pending_xsc_review,approved,有 PIK3CA，无匹配 PI3K 抑制剂治疗响应。
oc03_pi3k_inhibitor_same_patient,激素受体阳性乳腺癌接受 PI3K 抑制剂时，能否在同一患者记录上同时看到 PIK3CA 状态与临床响应？禁止把只有突变或只有表达响应的队列横向贴值。,CIViC,not_relevant,official_candidate_draft_pending_xsc_review,approved,知识证据不等于患者疗效。
oc04_esr1_mutation_clinical_table,需要患者级 ESR1/ER 状态与体细胞突变共存表，不要求治疗响应结局；细胞系与 CIViC 不得当患者表。,brca_metabric,relevant,official_candidate_draft_pending_xsc_review,approved,METABRIC 含 ER 临床状态与体细胞突变。https://www.cbioportal.org/study/summary?id=brca_metabric
oc04_esr1_mutation_clinical_table,需要患者级 ESR1/ER 状态与体细胞突变共存表，不要求治疗响应结局；细胞系与 CIViC 不得当患者表。,TCGA-BRCA,relevant,official_candidate_draft_pending_xsc_review,approved,GDC/TCGA-BRCA 含突变与受体临床。https://portal.gdc.cancer.gov/projects/TCGA-BRCA
oc04_esr1_mutation_clinical_table,需要患者级 ESR1/ER 状态与体细胞突变共存表，不要求治疗响应结局；细胞系与 CIViC 不得当患者表。,GSE76360,not_relevant,official_candidate_draft_pending_xsc_review,approved,公开矩阵无体细胞突变表。
oc04_esr1_mutation_clinical_table,需要患者级 ESR1/ER 状态与体细胞突变共存表，不要求治疗响应结局；细胞系与 CIViC 不得当患者表。,DepMap,not_relevant,official_candidate_draft_pending_xsc_review,approved,细胞系，不是患者队列。
oc04_esr1_mutation_clinical_table,需要患者级 ESR1/ER 状态与体细胞突变共存表，不要求治疗响应结局；细胞系与 CIViC 不得当患者表。,CIViC,not_relevant,official_candidate_draft_pending_xsc_review,approved,知识证据层，不是患者共存表。
oc05_ihc_and_erbb2_cna_cohorts,哪些公开队列可以同时提供 HER2 免疫组化类注释和 ERBB2 拷贝数，以便对照而不是合并成一个 her2_status？,TCGA-BRCA,relevant,official_candidate_draft_pending_xsc_review,approved,同时可能有 IHC 类临床与 ERBB2 CNA，必须分字段。https://portal.gdc.cancer.gov/projects/TCGA-BRCA
oc05_ihc_and_erbb2_cna_cohorts,哪些公开队列可以同时提供 HER2 免疫组化类注释和 ERBB2 拷贝数，以便对照而不是合并成一个 her2_status？,brca_metabric,relevant,official_candidate_draft_pending_xsc_review,approved,临床 HER2 与分子拷贝数分开保存。
oc05_ihc_and_erbb2_cna_cohorts,哪些公开队列可以同时提供 HER2 免疫组化类注释和 ERBB2 拷贝数，以便对照而不是合并成一个 her2_status？,GSE76360,not_relevant,official_candidate_draft_pending_xsc_review,approved,公开矩阵侧重治疗响应与 IHC 类注释，不是 CNA 对照集。
oc05_ihc_and_erbb2_cna_cohorts,哪些公开队列可以同时提供 HER2 免疫组化类注释和 ERBB2 拷贝数，以便对照而不是合并成一个 her2_status？,CIViC,not_relevant,official_candidate_draft_pending_xsc_review,approved,知识证据不能替代 IHC/CNA 字段对照。
oc05_ihc_and_erbb2_cna_cohorts,哪些公开队列可以同时提供 HER2 免疫组化类注释和 ERBB2 拷贝数，以便对照而不是合并成一个 her2_status？,DepMap,not_relevant,official_candidate_draft_pending_xsc_review,approved,细胞系拷贝数不是患者 IHC 对照金标准。
oc06_erbb2_knowledge_evidence,查找 ERBB2 变异的文献级预测性证据，并明确这不是患者疗效表，也不是细胞系 AUC。,CIViC,relevant,official_candidate_draft_pending_xsc_review,approved,Variant–Drug–Disease 文献级证据。https://civicdb.org/
oc06_erbb2_knowledge_evidence,查找 ERBB2 变异的文献级预测性证据，并明确这不是患者疗效表，也不是细胞系 AUC。,brca_metabric,not_relevant,official_candidate_draft_pending_xsc_review,approved,患者队列，不是文献证据库。
oc06_erbb2_knowledge_evidence,查找 ERBB2 变异的文献级预测性证据，并明确这不是患者疗效表，也不是细胞系 AUC。,GSE76360,not_relevant,official_candidate_draft_pending_xsc_review,approved,表达/临床队列，不是 CIViC 证据。
oc06_erbb2_knowledge_evidence,查找 ERBB2 变异的文献级预测性证据，并明确这不是患者疗效表，也不是细胞系 AUC。,DepMap,not_relevant,official_candidate_draft_pending_xsc_review,approved,细胞系筛药不是知识证据。
oc07_trial_outcome_measurements,检索 ClinicalTrials.gov 上带公开结局测量的乳腺癌试验，必须落到具体 NCT；GEO 与 DepMap 不是试验登记主库。,NCT01104584,relevant,official_candidate_draft_pending_xsc_review,approved,ClinicalTrials.gov 官方 NCT01104584，项目 AACT 适配器用该编号验证公开结局测量。https://clinicaltrials.gov/study/NCT01104584
oc07_trial_outcome_measurements,检索 ClinicalTrials.gov 上带公开结局测量的乳腺癌试验，必须落到具体 NCT；GEO 与 DepMap 不是试验登记主库。,AACT,relevant,official_candidate_draft_pending_xsc_review,approved,ClinicalTrials.gov/AACT 聚合层，须落到具体 NCT。https://aact.ctti-clinicaltrials.org/
oc07_trial_outcome_measurements,检索 ClinicalTrials.gov 上带公开结局测量的乳腺癌试验，必须落到具体 NCT；GEO 与 DepMap 不是试验登记主库。,GSE76360,not_relevant,official_candidate_draft_pending_xsc_review,approved,单中心 GEO 队列，不是试验登记主库。
oc07_trial_outcome_measurements,检索 ClinicalTrials.gov 上带公开结局测量的乳腺癌试验，必须落到具体 NCT；GEO 与 DepMap 不是试验登记主库。,GSE25066,not_relevant,official_candidate_draft_pending_xsc_review,approved,GEO 表达/响应系列，不是 NCT 主库。
